规则ID,名称,本轮状态,具体范围,实证验证,实盘启用
Q01,数据契约与可用时间,部分实现,消费阶段二标准输入，过滤时点、完成状态和身份；不包含全部采集适配,False,False
Q02,蜡烛几何与16种外观,启发式实现,保留16类外观目录并按工程容差分类；非典型实体保留OTHER_BODY，不强制塞入标准图；报价单位边界仍需核验,False,False
Q03,ATR与统一尺度,计算核心已实现,实现TR/Wilder ATR及前一期尺度,False,False
Q04,SMA、EMA与动态支撑,部分实现,新增5/10/20/50/200期SMA与EMA序列；通用均线交叉策略尚未接入,False,False
Q05,RSI与极值状态,计算核心已实现,实现Wilder RSI和边界状态,False,False
Q06,MACD、交叉、柱体与零轴,部分实现,实现12/26/9差线、信号、柱体和当根交叉；固定参数,False,False
Q07,成交量与四种量价状态,部分实现,RVOL、量价变化及OBV序列；缺成交量后OBV不继续假装完整,False,False
Q08,不重画的已确认拐点,计算核心已实现,实现严格局部枢轴、两bar延迟及歧义点排除,False,False
Q09,趋势、回调与反转状态,计算核心已实现,实现最近确认高低点、60bar年龄与ATR容差结构,False,False
Q10,跨市场多周期对齐,部分实现,使用阶段二完整周线，按as_of过滤；未实现通用市场实时对齐,False,False
Q11,支撑阻力、位置与区域,已实现研究版,确认枢轴创建冻结ATR区域；触及、到期和收盘失效分开,False,False
Q12,趋势线与穿线警告,已实现研究版,确认拐点因果画线并记录穿线；穿线不自动反转,False,False
Q13,突破、回测、假突破及生命周期,已实现研究版,候选、盘中探测、收盘突破、回测确认、失败、失效和到期,False,False
Q14,小实体、十字与纺锤,已实现研究版,一字、十字、蜻蜓、墓碑、纺锤与大小实体几何,False,False
Q15,锤子线与上吊线,已实现研究版,长下影几何结合此前已知结构并走Q13生命周期,False,False
Q16,流星与倒锤子线,已实现研究版,长上影几何结合此前已知结构并走Q13生命周期,False,False
Q17,吞没与组合极值,已实现研究版,前置结构、实体吞没、组合极值、增强特征及Q13生命周期,False,False
Q18,乌云盖顶与刺透,已实现研究版,严格乌云、刺透和中点边界；组合极值走Q13生命周期,False,False
Q19,待入、切入、插入线的边界,启发式实现,计算收复率并按声明工程区间分类；原页缺精确阈值故明确标HEURISTIC,False,False
Q20,星线、启明星与黄昏星,已实现研究版,两根星线与三根晨星暮星分时点识别，含十字版本,False,False
Q21,弃婴顶部与底部,已实现研究版,要求十字星全部影线与两侧K线严格隔离,False,False
Q22,孕线与十字孕线,已实现研究版,实体包含、收缩及此前结构；影线允许突出,False,False
Q23,窗口、进入、回补与收盘失效,已实现研究版,完整高低区间窗口及进入、完整回补、收盘失效生命周期,False,False
Q24,头肩顶底与编号观察点,启发式实现,五个交替确认枢轴、肩部容差、头部突出、动态颈线及因果突破,False,False
Q25,双顶与双底,启发式实现,三个交替确认枢轴、端点容差、深度、颈线突破和量度参考,False,False
Q26,矩形与明确横盘,启发式实现,冻结20根区间、上下至少两次间隔触及及未来突破,False,False
Q27,旗形与三角旗,启发式实现,ATR旗杆、较短整理、回撤、平行或收敛边界及未来确认,False,False
Q28,楔形的几何与方向,启发式实现,确认拐点边界斜率、宽度收敛及实际突破方向,False,False
Q29,总览中仅列名的结构,启发式实现,三重顶底、圆弧、喇叭、菱形及三类三角形；全部标HEURISTIC,False,False
Q30,RSI背离与价格结构,计算核心已实现,实现价格枢轴对齐RSI背离与3点阈值,False,False
Q31,量度参考与目标边界,已实现研究版,双顶底和矩形在确认后输出冻结高度参考；不是必达目标,False,False
Q32,分层融合与首批研究策略,已实现研究版,F1趋势回调、F2区间突破、F3高位风险以证据ID结合；无总分,False,False
Q33,交易模拟与市场配置,部分实现,显式资金费用滑点手数追价和持有期配置后运行现金多头研究模拟；无券商连接,False,False
Q34,事件研究、回测与验收,已实现研究版,确认后下一开盘、1/3/5/10/20根事件收益及时间隔离；另有冻结方向复盘，不等于盈利验证,False,False
Q35,复盘、证据图与Skill输出,已实现研究版,正式PDF强制次日方向、41条规则审阅及首页末页同源结论；草稿单列,False,False
Q36,日线与完整周线BBI,部分实现,实现日／完整周BBI和预热；参数固定，通用配置待实现,False,False
Q37,上升背景中BBI触线仅作支持证据,部分实现,实现本周期先行连续条件、实际触线、收盘失效及支持状态；综合买入决策未实现,False,False
Q38,基本面前提与来源,部分实现,识别前提状态与缺少证据；不包含基本面研究引擎,False,False
Q39,分期限逐模型解释与冲突披露,已实现研究版,六类核心模型逐周期解释，完整形态事件另存并在报告展示最近状态,False,False
Q40,BBI参考价格与信号执行时序,部分实现,BBI参考价和观察带分离，强制收盘确认只能下一交易日执行；交易真实性仍需报价与成交条件核验,False,False
Q41,每轮理论标准图与标的实际图对照,已实现研究版,核心模型及最近决策相关形态均生成来源标注的合成理论图与因果实际窗口,False,False
