figure_id,source_page,title,elements,rule_ids
G01,A1,HH/HL蜡烛图,各高低点方框、上行中的回调、XS标识,Q08 Q09
G02,A2,上升下降折线并列,HH/HL与LH/LL；图题Higher Highs Lower Lows歧义,Q08 Q09
G03,A3,上升楔形,两条向上且收敛边界；未画突破,Q28
G04,A4,下降楔形,两条向下且收敛边界；不能混作普通趋势线,Q28 Q12
G05,A5,四种价量组合表,价格/成交量上升下降四组合；等值工程补充,Q07
G06,A6,头肩顶上图,左右肩、头部、颈线、构成点、反抽箭头、递减量柱,Q24 Q07 Q13
G07,A6,头肩顶下图,蓝趋势线、红颈线、卖出点1/2/3,Q12 Q24 Q13
G08,A7,头肩底上图,左右肩、头部、颈线、突破箭头、递增量柱,Q24 Q07 Q13
G09,A7,头肩底下图,蓝下降线、红颈线、买入点1/2、右肩事后成形,Q12 Q24 Q13
G10,A8,双顶底上排,两顶/两底、中间反向拐点及颈线,Q25
G11,A8,双顶底下排,买卖讯号、等幅弧线、停利价位,Q25 Q31 Q33
G12,A9,两栏20种型态,W/M、三重、头肩、圆弧、喇叭、旗形、斜楔三角形、菱形、楔形、持续三角形；上涨/下跌各10,Q24 Q25 Q27 Q28 Q29
G13,A9,旗形标注图,旗杆、旗帜、突破点及预期箭头,Q27 Q13
G14,A10,上升旗形,快速上涨旗杆、略向下/平行整理、预期延伸,Q27
G15,A10,下降旗形,快速下跌旗杆、略向上/平行整理、预期延伸,Q27
G16,A11,三角旗左右图,上涨/下跌a旗杆、b收敛、c延伸；无等幅数值,Q27
G17,A11,MU蜡烛案例,缺完整日期价格轴，无画出三角旗边界，不复原收益,Q27 Q34
G18,A12,矩形左右图,看涨/看跌区间、突破、回靠、测量箭头,Q26 Q31 Q13
G19,B1,K线16种型态表,红阳绿阴六种各一组；十字/T/倒T/一字四类,Q02 Q14 Q15 Q16
G20,B1,光头红K线,无上影有下影；原图旁解释,Q02
G21,B2,光脚红K线,有上影无下影；原图旁解释,Q02
G22,B2,纺锤两色图,开收高低、小实体、上下影；绿阳红阴与B1不同,Q02 Q14
G23,B3,十字线,开收相等或接近；结合趋势,Q14
G24,B3,反转两情景图,信号后直接下行；先横盘再续涨,Q09 Q13
G25,B4,伞形线与上吊情景,黑白都可；下影与实体比例；前置趋势,Q15 Q09
G26,B5,重复伞形线,保留重复出现；结合第三条件及确认文字,Q15 Q13
G27,B6,2月22/24历史片段,非锤子与典型锤子箭头；缺完整标的年份,Q15 Q34
G28,B7,两种吞没图,看涨/看跌、实体覆盖、影线不强制覆盖,Q17
G29,B8,吞没极值四例,两组阻力与两组支撑；组合最高/最低,Q17 Q11
G30,B9,乌云盖顶图,高开、黑实体进入白实体、最高处虚线,Q18 Q13
G31,B10,待入切入插入三图,近前低、近前收、进入未越中点；精确子型待核,Q18 Q19
G32,B12,图5.1星线,上涨下跌两侧、黑白不限、实体互不接触,Q20
G33,B12,图5.2十字星线,两侧背景、十字实体、雨滴别称,Q20
G34,B13,图5.3启明星,第1/2/3根、第二实体颜色不限、低位虚线,Q20
G35,B14,图5.7黄昏星,第1/2/3根、颜色不限、高位虚线,Q20
G36,B14,图5.11十字黄昏星,上涨背景、中间十字、第三阴线,Q20
G37,B15,图5.12十字启明星,下跌背景、中间十字、第三阳线,Q20
G38,B15,图5.13弃婴顶部,十字两侧完整区间跳空,Q21
G39,B16,图5.14弃婴底部,底部十字两侧完整区间跳空,Q21
G40,B16,图5.19流星,上涨背景、长上影、黑白不限,Q16
G41,B17,图5.23倒锤子线,下跌背景、长上影、黑白不限,Q16
G42,B18,图6.1孕线,两侧趋势、小实体包含、颜色不限,Q22
G43,B18,图6.3十字孕线,包含的是实体，不强制包含影线,Q22
G44,B20,图7.1向上窗口,两端边界、回落、没有收市于窗口之下,Q23
G45,B20,图7.2向下窗口,两端边界、反弹、没有收市于窗口之上,Q23
G46,B21,五日SMA算例与通式,38.80算例；通式分子五项/分母n错误,Q04
