term,english,aliases,group,rule_id,status,handbook_pages,source_pages,definition
趋势,Trend,,趋势、位置与验证,Q09,待实现,4,A1 A2 B3 B4 B5,一段时间内高点与低点持续推进的方向。先注明周期。
市场结构,Market Structure,,趋势、位置与验证,Q09,待实现,"4,27",A1 A2 B3 B4 B5,多个高低点、区间与关键边界之间的关系，是判断背景的基础。
上升趋势,Uptrend,,趋势、位置与验证,Q09,待实现,5,A1 A2 B3 B4 B5,高点与低点同步抬高的结构；仍可包含回调。
下降趋势,Downtrend,,趋势、位置与验证,Q09,待实现,5,A1 A2 B3 B4 B5,反弹高点与随后低点持续降低的结构。
横盘,Sideways / Range,,趋势、位置与验证,Q09,待实现,"5,8,11",A1 A2 B3 B4 B5,价格缺少持续的同向推进，反复围绕区间波动。
HH,Higher High,更高的高点,趋势、位置与验证,Q09,待实现,5,A1 A2 B3 B4 B5,比上一个可比高点更高的高点。
HL,Higher Low,更高的低点,趋势、位置与验证,Q09,待实现,5,A1 A2 B3 B4 B5,比上一个可比低点更高的低点。
LH,Lower High,更低的高点,趋势、位置与验证,Q09,待实现,5,A1 A2 B3 B4 B5,比上一个可比高点更低的高点。
LL,Lower Low,更低的低点,趋势、位置与验证,Q09,待实现,5,A1 A2 B3 B4 B5,比上一个可比低点更低的低点。
主要趋势,Primary Trend,,趋势、位置与验证,Q09,待实现,6,A1 A2 B3 B4 B5,原笔记指持续数月到数年的主要方向。
次级趋势,Secondary Trend,,趋势、位置与验证,Q09,待实现,6,A1 A2 B3 B4 B5,主要趋势内部的中期调整，不自动意味着主要趋势结束。
短期趋势,Minor Trend,,趋势、位置与验证,Q09,待实现,6,A1 A2 B3 B4 B5,原笔记指持续数天到数周的小级别波动。
多周期,Multiple Time Frames,周期,趋势、位置与验证,Q10,待实现,"6,24,27,28,30",A2 A14 A15 B2 B11 B19,从较大周期看背景，再用较小周期细化观察；不同周期不可混同。
回调,Pullback,,趋势、位置与验证,Q09,待实现,"5,6,28",A1 A2 B3 B4 B5,既有方向中的逆向调整，尚不必然破坏更大趋势。
反转,Reversal,,趋势、位置与验证,Q09,待实现,"5,8,11,29",A1 A2 B3 B4 B5,原趋势的运行状态发生改变；警告出现时，新反向趋势未必已建立。
位置,Location,,趋势、位置与验证,Q11,待实现,"4,7,27",A3 A4 B8 B9 B20,形态相对于前高、前低、支撑阻力、均线等边界的所在之处。
支撑,Support,,趋势、位置与验证,Q11,待实现,"7,14,19",A3 A4 B8 B9 B20,价格此前出现止跌反应的候选区域，其当前作用仍需验证。
阻力,Resistance,,趋势、位置与验证,Q11,待实现,"7,14,19",A3 A4 B8 B9 B20,价格此前出现上行受阻反应的候选区域，其当前作用仍需验证。
角色互换,Role Reversal,,趋势、位置与验证,Q11,待实现,"7,20,28",A3 A4 B8 B9 B20,原阻力被突破后可能转为支撑，原支撑失守后可能转为阻力。
趋势线,Trend Line,上升趋势线；下降趋势线,趋势、位置与验证,Q12,待实现,"8,31",A4 A5,连接重要拐点以描述运行方式；上升线连重要HL，下降线连重要LH。
突破,Breakout,,趋势、位置与验证,Q13,待实现,"7,9,22",A4 A5 A6 A7 A15 B11 B19,价格穿越已识别边界的事件；需要和能否持续保持分开评价。
回测,Retest,,趋势、位置与验证,Q11,待实现,"7,9",A3 A4 B8 B9 B20,穿越边界后再次返回附近，检验边界是否具有新的作用。
假突破,False Breakout,,趋势、位置与验证,Q13,待实现,"9,29",A4 A5 A6 A7 A15 B11 B19,越界后未能维持并返回原范围的情形；需要说明判定周期与口径。
确认,Confirmation,,趋势、位置与验证,Q13,待实现,"4,6,9,12,13,18,20,27,29,30,31",A4 A5 A6 A7 A15 B11 B19,后续可观察的证据继续支持候选解释，不能事先假定它必然出现。
失效条件,Invalidation,,趋势、位置与验证,Q13,待实现,"4,9,12,27",A4 A5 A6 A7 A15 B11 B19,若出现便应撤销或重估当前解释的可观察变化；为本书整理补充。
成交量,Volume,,趋势、位置与验证,Q07,待实现,"9,14,20",A5 B8,指定时段的成交数量；用来观察参与程度，不能直接证明资金身份。
量价关系,Price–Volume Relationship,,趋势、位置与验证,Q07,待实现,9,A5 B8,把价格方向与成交量变化结合起来阅读，仍需结构与位置作为背景。
复盘,Review,,趋势、位置与验证,Q35,待实现,"27,28,30",A15 B11 B19,按当时可见的信息核对判断过程，避免事后把未知结果写成已有依据。
蜡烛线,Candlestick,K线,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,用开、高、低、收表示一个交易时段的价格变化。
开盘价,Open,,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,选定时段的起始交易价格。
收盘价,Close,,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,选定时段结束时的交易价格；未结束的蜡烛收盘值仍会变化。
最高价,High,,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,选定时段内出现的最高交易价格。
