source_page,handbook_appendix_page,topic,rule_ids,figure_ids,page_type
A1,58,HH与HL趋势图,Q08 Q09,G01,图表与文字
A2,59,上升下降序列与三级趋势,Q08 Q09 Q10,G02,图表与文字
A3,60,支撑阻力与上升楔形,Q11 Q28,G03,图表与文字
A4,61,角色互换、趋势线与下降楔形,Q11 Q12 Q13 Q28,G04,图表与文字
A5,62,趋势线矛盾表述、突破与四种价量,Q07 Q12 Q13,G05,图表与文字
A6,63,头肩顶两图、卖点1/2/3、量柱递减,Q24 Q12 Q13 Q07,G06 G07,图表与文字
A7,64,头肩底两图、买点1/2、量柱递增,Q24 Q12 Q13 Q07,G08 G09,图表与文字
A8,65,双顶底、颈线、等幅目标,Q25 Q31,G10 G11,图表与文字
A9,66,上涨/下跌20种外观及旗杆旗帜突破,Q25 Q24 Q27 Q28 Q29,G12 G13,图表与文字
A10,67,牛旗熊旗两幅,Q27,G14 G15,图表与文字
A11,68,三角旗a/b/c、MU无完整坐标案例,Q27 Q26,G16 G17,图表与文字
A12,69,矩形两幅、回靠与测量,Q26 Q31,G18,图表与文字
A13,70,均线与震荡指标文字,Q04 Q05 Q06,,文字页
A14,71,RSI MACD 多周期与表述限制,Q05 Q06 Q10 Q30 Q34,,文字页
A15,72,全流程、趋势优先、确认,Q09 Q13 Q32 Q35,,文字页
B1,73,16种型态与光头红K,Q02 Q14 Q15 Q16,G19 G20,图表与文字
B2,74,光脚、纺锤、配色差异与周期,Q02 Q14 Q10,G21 G22,图表与文字
B3,75,十字、反转后下跌/横盘续涨两图,Q14 Q09,G23 G24,图表与文字
B4,76,伞形、上吊及形态标准,Q15 Q09,G25,图表与文字
B5,77,第三项条件、趋势与确认差别、重复伞形,Q15 Q13,G26,图表与文字
B6,78,2月22/24锤子反例正例及失效,Q15,G27,图表与文字
B7,79,看涨看跌吞没图与条件,Q17,G28,图表与文字
B8,80,放大、成交量与两组极值支撑阻力,Q17 Q07 Q11,G29,图表与文字
B9,81,乌云、中点与长阳反证,Q18 Q13,G30,图表与文字
B10,82,刺透与待入切入插入对照,Q18 Q19,G31,图表与文字
B11,83,趋势位置确认及红底文字,Q09 Q13 Q32,,文字页
B12,84,星线/十字星两图及雨滴,Q20,G32 G33,图表与文字
B13,85,启明星1/2/3及实体颜色,Q20,G34,图表与文字
B14,86,黄昏星、十字黄昏星,Q20,G35 G36,图表与文字
B15,87,十字启明星、弃婴顶部双跳空,Q20 Q21,G37 G38,图表与文字
B16,88,弃婴底部与流星,Q21 Q16,G39 G40,图表与文字
B17,89,倒锤子与前置下跌背景,Q16,G41,图表与文字
B18,90,孕线、十字孕线及颜色不限,Q22,G42 G43,图表与文字
B19,91,重复强调位置确认文字,Q09 Q13 Q32,,文字页
B20,92,向上向下窗口、边界与收盘,Q23,G44 G45,图表与文字
B21,93,五日均线算例、错误通式、MACD感想,Q04 Q06 Q34,G46,图表与文字
